line_number,raw_date,corrected_date,date,year_correction_applied,lift,lift_name,weight,reps,failed,estimated_1rm,raw
733,2022-07-25,2022-07-25,2022-07-25,False,bench,벤치프레스,80.0,5,False,93.33333333333334,80 * 5
734,2022-07-25,2022-07-25,2022-07-25,False,bench,벤치프레스,90.0,5,False,105.0,90 * 5
735,2022-07-25,2022-07-25,2022-07-25,False,bench,벤치프레스,100.0,5,False,116.66666666666667,100 * 5
736,2022-07-25,2022-07-25,2022-07-25,False,bench,벤치프레스,100.0,4,False,113.33333333333333,100 * 4
737,2022-07-25,2022-07-25,2022-07-25,False,bench,벤치프레스,90.0,5,False,105.0,90 * 5
738,2022-07-25,2022-07-25,2022-07-25,False,bench,벤치프레스,90.0,5,False,105.0,90 * 5
788,2022-07-28,2022-07-28,2022-07-28,False,bench,벤치프레스,60.0,5,False,70.0,60 * 5
789,2022-07-28,2022-07-28,2022-07-28,False,bench,벤치프레스,80.0,5,False,93.33333333333334,80 * 5
790,2022-07-28,2022-07-28,2022-07-28,False,bench,벤치프레스,100.0,5,False,116.66666666666667,100 * 5
791,2022-07-28,2022-07-28,2022-07-28,False,bench,벤치프레스,100.0,5,False,116.66666666666667,100 * 5
792,2022-07-28,2022-07-28,2022-07-28,False,bench,벤치프레스,100.0,5,False,116.66666666666667,100 * 5
793,2022-07-28,2022-07-28,2022-07-28,False,bench,벤치프레스,100.0,5,False,116.66666666666667,100 * 5
794,2022-07-28,2022-07-28,2022-07-28,False,bench,벤치프레스,100.0,5,False,116.66666666666667,100 * 5
829,2022-07-30,2022-07-30,2022-07-30,False,squat,스쿼트,60.0,5,False,70.0,60 * 5
830,2022-07-30,2022-07-30,2022-07-30,False,squat,스쿼트,80.0,5,False,93.33333333333334,80 * 5
831,2022-07-30,2022-07-30,2022-07-30,False,squat,스쿼트,100.0,5,False,116.66666666666667,100 * 5
832,2022-07-30,2022-07-30,2022-07-30,False,squat,스쿼트,110.0,5,False,128.33333333333334,110 * 5
833,2022-07-30,2022-07-30,2022-07-30,False,squat,스쿼트,110.0,5,False,128.33333333333334,110 * 5
834,2022-07-30,2022-07-30,2022-07-30,False,squat,스쿼트,100.0,5,False,116.66666666666667,100 * 5
835,2022-07-30,2022-07-30,2022-07-30,False,squat,스쿼트,100.0,5,False,116.66666666666667,100 * 5
836,2022-07-30,2022-07-30,2022-07-30,False,squat,스쿼트,100.0,5,False,116.66666666666667,100 * 5
837,2022-07-30,2022-07-30,2022-07-30,False,squat,스쿼트,100.0,5,False,116.66666666666667,100 * 5
844,2022-08-01,2022-08-01,2022-08-01,False,bench,벤치프레스,60.0,5,False,70.0,60 * 5
845,2022-08-01,2022-08-01,2022-08-01,False,bench,벤치프레스,80.0,5,False,93.33333333333334,80 * 5
846,2022-08-01,2022-08-01,2022-08-01,False,bench,벤치프레스,100.0,5,False,116.66666666666667,100 * 5
847,2022-08-01,2022-08-01,2022-08-01,False,bench,벤치프레스,110.0,3,False,121.00000000000001,110 * 3
848,2022-08-01,2022-08-01,2022-08-01,False,bench,벤치프레스,100.0,5,False,116.66666666666667,100 * 5
849,2022-08-01,2022-08-01,2022-08-01,False,bench,벤치프레스,100.0,5,False,116.66666666666667,100 * 5
850,2022-08-01,2022-08-01,2022-08-01,False,bench,벤치프레스,100.0,5,False,116.66666666666667,100 * 5
882,2022-08-08,2022-08-08,2022-08-08,False,bench,벤치프레스,60.0,5,False,70.0,60 * 5
883,2022-08-08,2022-08-08,2022-08-08,False,bench,벤치프레스,80.0,5,False,93.33333333333334,80 * 5
884,2022-08-08,2022-08-08,2022-08-08,False,bench,벤치프레스,100.0,5,False,116.66666666666667,100 * 5
885,2022-08-08,2022-08-08,2022-08-08,False,bench,벤치프레스,110.0,3,False,121.00000000000001,110 * 3
886,2022-08-08,2022-08-08,2022-08-08,False,bench,벤치프레스,120.0,1,False,124.00000000000001,120 * 1
887,2022-08-08,2022-08-08,2022-08-08,False,bench,벤치프레스,110.0,2,False,117.33333333333333,110 * 2
888,2022-08-08,2022-08-08,2022-08-08,False,bench,벤치프레스,100.0,5,False,116.66666666666667,100 * 5
894,2022-08-10,2022-08-10,2022-08-10,False,squat,스쿼트,60.0,5,False,70.0,60 * 5
895,2022-08-10,2022-08-10,2022-08-10,False,squat,스쿼트,80.0,5,False,93.33333333333334,80 * 5
896,2022-08-10,2022-08-10,2022-08-10,False,squat,스쿼트,100.0,5,False,116.66666666666667,100 * 5
897,2022-08-10,2022-08-10,2022-08-10,False,squat,스쿼트,110.0,5,False,128.33333333333334,110 * 5
898,2022-08-10,2022-08-10,2022-08-10,False,squat,스쿼트,120.0,2,False,128.0,120 * 2
899,2022-08-10,2022-08-10,2022-08-10,False,squat,스쿼트,100.0,5,False,116.66666666666667,100 * 5
900,2022-08-10,2022-08-10,2022-08-10,False,squat,스쿼트,100.0,5,False,116.66666666666667,100 * 5
910,2022-08-17,2022-08-17,2022-08-17,False,squat,스쿼트,60.0,5,False,70.0,60 * 5
911,2022-08-17,2022-08-17,2022-08-17,False,squat,스쿼트,80.0,5,False,93.33333333333334,80 * 5
912,2022-08-17,2022-08-17,2022-08-17,False,squat,스쿼트,100.0,5,False,116.66666666666667,100 * 5
913,2022-08-17,2022-08-17,2022-08-17,False,squat,스쿼트,110.0,5,False,128.33333333333334,110 * 5
914,2022-08-17,2022-08-17,2022-08-17,False,squat,스쿼트,120.0,2,False,128.0,120 * 2
915,2022-08-17,2022-08-17,2022-08-17,False,squat,스쿼트,110.0,5,False,128.33333333333334,110 * 5
916,2022-08-17,2022-08-17,2022-08-17,False,squat,스쿼트,110.0,5,False,128.33333333333334,110 * 5
